"Year","Month","Dekad","1 Month Anomaly (%)","3 Months Anomaly (%)","Value","Average"
2019,6,1,171.149454453184,153.933214161052,34.493,28.052
2019,6,2,129.630179711867,135.290375203915,20.375,28.099
2019,6,3,112.14099086022,136.344230769231,47.153,33.742
2019,7,1,140.527351692503,149.05671369343,95.256,51.113
2019,7,2,154.084737296217,148.475219945813,85.108,59.292
2019,7,3,124.083005693244,131.819867874496,43.494,68.064
2019,8,1,107.026406540608,130.184616517158,82.369,69.108
2019,8,2,88.1299734748011,118.512527779769,62.158,77.52
2019,8,3,106.000352369686,114.17292224143,98.163,81.758
2019,9,1,94.8270150472413,110.16720032535,32.917,45.047
2019,9,2,101.411006313007,111.129032258065,33.855,35.696
2019,9,3,89.1959097922069,108.800337426968,31.915,31.109
2019,10,1,115.061570697054,103.440971683713,26.919,12.442
2019,10,2,144.492610507641,100.536915823683,17.496,6.196
2019,10,3,202.783891868432,109.206566531094,10.997,3.619
2019,11,1,193.507336061483,106.947070254603,0.282,0.223
2019,11,2,153.727785002167,116.123667566014,0,0
2019,11,3,100.577130000978,113.890890447025,0,0
2019,12,1,100,132.41073676789,0,0
2019,12,2,100,153.499819151111,0,0
2019,12,3,100,202.259852216749,0,0
2020,1,1,100,193.507336061483,0,0
2020,1,2,100,153.727785002167,0,0
2020,1,3,100,100.577130000978,0,0
2020,2,1,100,100,0,0
2020,2,2,100,100,0,0
2020,2,3,100,100,0,0
2020,3,1,100.219604711519,100.219604711519,0.04,0.018
2020,3,2,100.467289719626,100.467289719626,0.065,0.04
2020,3,3,102.769230769231,102.769230769231,0.583,0.342
2020,4,1,119.768956831408,119.928887347151,3.141,1.131
2020,4,2,108.233608025797,108.534931848997,1.38,2.482
2020,4,3,101.992991677617,103.493356193742,4.107,4.651
2020,5,1,89.6416329074478,96.9483358615151,13.279,14.957
2020,5,2,83.6146512306645,87.7218639898956,6.993,11.508
2020,5,3,70.6878965475511,75.4867908641196,10.616,21.378
2020,6,1,81.5486763088894,85.0466993156408,30.24,28.052
2020,6,2,89.1898685007255,87.7243066884176,27.211,28.099
2020,6,3,93.3739100837897,85.1217948717949,25.823,33.742
2020,7,1,88.2907428794509,85.0423823440883,45.523,51.113
2020,7,2,81.8212485484635,83.1726232153186,44.779,59.292
2020,7,3,103.899315006712,95.0261338728714,95.516,68.064
2020,8,1,99.2124535027898,92.3461178474902,54.543,69.108
2020,8,2,98.3777793601909,90.7858538246469,60.988,77.52
2020,8,3,93.8159120082555,97.2349175527087,98.113,81.758
2020,9,1,111.909483261402,101.814248591389,70.749,45.047
2020,9,2,136.217181349673,105.798170662852,56.114,35.696
2020,9,3,150.673768177789,110.280552366434,46.736,31.109
2020,10,1,135.547413358432,111.351002783469,8.122,12.442
2020,10,2,111.327765410816,115.013045269373,1.657,6.196
2020,10,3,64.3798245342096,109.534356165855,0.988,3.619
2020,11,1,65.2809661642878,116.565001152795,0.436,0.223
2020,11,2,82.531426094495,129.556813658278,0,0
2020,11,3,102.083537122175,134.967990466425,0,0
2020,12,1,100,124.946366520622,0,0
2020,12,2,100,106.840805799745,0,0